Time,Latitude,Longitude,Magnitude
1676314927000,37.3095,36.8262,2.5
1676314643000,37.1372,36.9230,2.4
1676314195000,38.9352,39.7315,2.6
1676314141000,37.8165,36.6008,3.2
1676313705000,37.9288,36.3312,2.3
1676313404000,38.1265,37.5543,2.3
1676313173000,37.9163,36.2033,2.3
1676312919000,37.9772,36.5588,3.7
1676311904000,38.1650,38.5282,2.9
1676311663000,38.0945,37.8148,2.8
1676311567000,38.0450,36.5365,2.8
1676311322000,37.8317,36.6455,2.8
1676311187000,38.0932,36.6083,2.3
1676310821000,38.2892,38.1485,2.7
1676310753000,38.2628,37.3712,2.3
1676310607000,38.5420,40.4428,2.6
1676310464000,38.0275,37.5698,2.2
1676310202000,37.9575,38.0267,2.3
1676310144000,37.9955,37.5287,2.4
1676309153000,36.3537,36.2068,3.2
1676308865000,38.3902,37.9310,2.6
1676308818000,38.3733,37.9142,2.4
1676308739000,37.9883,37.9278,2.9
1676308410000,38.0615,36.5742,3.6
1676307936000,37.7205,37.2140,1.8
1676307264000,36.6847,36.4852,2.6
1676306985000,38.6025,37.4785,2.6
1676306826000,38.2413,38.5328,2.1
1676306506000,37.2443,36.9962,3.4
1676306253000,37.3420,36.8965,2.3
1676305773000,38.4065,39.3958,2.4
1676305537000,38.0332,36.5953,2.6
1676305299000,37.8750,36.3695,3.3
1676305064000,37.9708,36.3535,2.6
1676304857000,37.3508,36.8818,2.0
1676304571000,38.4475,37.4848,1.9
1676304118000,36.8777,37.0562,2.3
1676303889000,38.1152,36.7472,2.4
1676303505000,37.9303,37.6700,2.2
1676303319000,38.0428,36.6035,2.6
1676303223000,36.1998,35.8113,3.3
1676302698000,38.1630,37.8552,3.3
1676302577000,37.0220,36.5123,2.9
1676302508000,37.9888,36.5078,2.3
1676302249000,37.8645,36.2818,3.2
1676302075000,38.0417,36.5542,2.2
1676301681000,38.2122,38.6782,4.1
1676301613000,37.8747,36.3718,3.4
1676301489000,36.8507,36.5030,3.5
1676301304000,37.8433,36.2868,4.2
1676301104000,37.8680,36.3310,3.2
1676300393000,37.8972,36.3250,2.7
1676300268000,37.3523,36.8670,2.4
1676299674000,38.1388,38.5207,3.8
1676298495000,38.1122,38.5353,4.4
1676298047000,37.0547,39.1425,2.7
1676297679000,38.2002,37.3155,2.4
1676297283000,38.0255,37.3218,3.8
1676296814000,38.0423,37.2958,4.0
1676296723000,38.0595,37.4238,3.3
1676295854000,37.9955,36.5937,2.2
1676295822000,37.7535,36.3823,2.2
1676295683000,37.8750,36.3315,1.6
1676295541000,38.5970,39.2780,1.8
1676294948000,37.8322,36.7048,2.2
1676294930000,39.2478,40.2838,2.0
1676294748000,37.9908,36.5985,1.7
1676294596000,36.2573,36.1250,1.9
1676293828000,36.9958,36.5312,2.5
1676293800000,37.9080,36.4303,2.3
1676293736000,37.0648,28.3830,2.6
1676293680000,38.0243,36.4003,2.5
1676293261000,38.1478,36.4673,1.8
1676293039000,38.3280,37.7258,3.3
1676292881000,37.3022,36.3828,2.0
1676292712000,38.1148,37.2273,1.7
1676292613000,36.0827,36.0047,3.4
1676292396000,38.2460,37.7858,2.1
1676292008000,37.9887,36.3665,2.9
1676291735000,37.9933,36.4620,1.6
1676291526000,38.0780,37.5133,2.1
1676291389000,38.3498,37.1528,2.0
1676291320000,38.0937,36.5072,1.7
1676291101000,37.2323,36.9802,1.8
1676291037000,38.1713,36.4128,1.7
1676290888000,37.2722,36.8265,2.5
1676290820000,38.1855,37.8793,2.5
1676290623000,38.2720,38.1468,2.1
1676290530000,38.1277,36.6582,2.6
1676290381000,37.8003,36.5810,2.3
1676290301000,38.2938,36.0933,1.8
1676290094000,38.1472,36.3870,1.8
1676289994000,38.0170,27.5897,1.6
1676289861000,38.2398,37.1260,1.6
1676289556000,36.9307,36.5358,4.7
1676289449000,38.1427,37.5345,2.7
1676289444000,38.2432,36.7835,2.4
1676289150000,37.8865,36.2663,2.9
1676288657000,37.7897,37.8660,2.4
1676288593000,38.1087,36.8287,2.3
1676288529000,38.2125,38.6837,2.3
1676288056000,38.0263,36.5717,2.3
1676287746000,39.1568,40.4265,2.2
1676287572000,36.2585,36.0855,2.7
1676287343000,38.1062,38.4985,2.5
1676287220000,38.0653,38.3645,3.1
1676287208000,38.0650,36.6935,2.5
1676286835000,38.1953,36.7113,2.0
1676286599000,38.0738,37.8032,3.5
1676286025000,36.9998,36.5418,2.6
1676285860000,38.1595,36.9415,2.0
1676285696000,37.5092,36.8963,2.4
1676285478000,37.9373,37.9437,3.4
1676285249000,37.5782,37.2532,2.6
1676284981000,37.3585,37.8547,2.8
1676284867000,37.4663,37.1635,3.2
1676284824000,40.7712,30.9075,2.4
1676284607000,38.3315,37.8357,1.8
1676284433000,37.9340,36.3730,1.2
1676284279000,38.0852,37.6662,1.8
1676283949000,37.3843,36.8520,2.1
1676283226000,38.1233,37.7525,2.2
1676283025000,38.0813,36.7678,2.7
1676282822000,38.0460,36.5342,2.4
1676282664000,38.0713,36.7157,1.9
1676282415000,37.0660,28.4752,2.7
1676282380000,38.0488,36.7897,3.8
1676282142000,38.1492,38.5405,3.9
1676281978000,37.9698,36.4287,2.0
1676281705000,39.0138,42.6910,2.2
1676281526000,38.0378,38.1675,1.6
1676281420000,38.0008,36.6382,2.8
1676281148000,37.3518,36.9573,2.9
1676281082000,38.0720,37.6912,3.0
1676280944000,38.1377,36.9915,1.9
1676280711000,37.9743,36.4308,2.3
1676280622000,37.3313,37.0533,2.1
1676280442000,37.8150,36.5980,2.2
1676280184000,38.0185,37.4043,3.9
1676280146000,37.1605,37.0138,3.0
1676280051000,37.3395,37.0723,2.1
1676279796000,37.4220,36.9423,3.6
1676279623000,39.1800,40.1612,1.9
1676279441000,37.4325,36.9712,3.3
1676278983000,36.0917,36.0307,2.9
1676278730000,37.9240,37.8622,1.9
1676278593000,37.2037,36.7768,1.9
1676278574000,38.2988,36.5848,1.9
1676278343000,36.3975,36.5490,2.9
1676278275000,37.8658,36.2943,1.9
1676278220000,37.8623,36.3212,1.8
1676278164000,38.0632,37.3127,2.4
1676277948000,38.1460,38.5423,2.7
1676277556000,38.0555,38.2015,2.8
1676277431000,38.0258,37.5845,2.5
1676277358000,36.4618,36.2992,2.7
1676277096000,37.9457,37.9212,2.1
1676276619000,38.1785,37.8358,2.3
1676276460000,37.9045,36.4522,2.4
1676276417000,38.0167,36.4787,2.7
1676276357000,40.8090,30.9850,1.6
1676276086000,37.9585,36.3028,2.3
1676276004000,38.1030,36.4065,1.9
1676275798000,38.0138,36.5167,2.3
1676275770000,38.0228,36.4588,2.7
1676275615000,38.0930,37.5065,2.7
1676275433000,38.0557,36.5308,2.6
1676275289000,40.8357,30.9805,3.6
1676275287000,38.0980,37.4763,3.3
1676275249000,38.0427,36.3907,3.1
1676275108000,38.0135,36.3817,3.0
1676274852000,37.2923,37.0095,1.9
1676274756000,37.8715,36.6973,2.9
1676274428000,37.3855,37.1230,2.1
1676274267000,37.8428,37.7377,2.0
1676274142000,37.3327,37.0620,1.7
1676274114000,37.3962,37.0195,2.0
1676273779000,37.9030,36.3040,1.6
1676273653000,38.0565,37.3710,2.6
1676273549000,38.1188,37.8270,2.6
1676273250000,38.0600,36.5010,1.8
1676273176000,38.1735,36.8712,1.6
1676273055000,37.3228,37.0845,2.5
1676272956000,38.0652,38.1888,2.0
1676272898000,37.9722,36.4460,2.1
1676272733000,37.5083,37.1132,3.7
1676272541000,37.4432,37.7873,2.5
1676272122000,37.7877,37.7250,2.8
1676271787000,38.8398,43.5790,3.3
1676271764000,37.4497,36.9717,2.2
1676271482000,38.1990,38.6970,3.4
1676270973000,38.0467,36.5002,2.3
1676270873000,38.1590,38.5103,2.0
1676270777000,37.6455,37.3448,2.7
1676270665000,38.1580,38.5742,2.1
1676270512000,38.1865,38.3282,2.5
1676270222000,38.3177,37.6863,1.9
1676270071000,38.0260,37.6127,3.3
1676269707000,38.1128,37.7435,3.4
1676269364000,38.1358,36.9805,2.3
1676269292000,38.0105,36.6572,2.8
1676269219000,37.6122,37.3407,2.2
1676269175000,37.8568,36.6067,2.3
1676269011000,37.9952,37.5002,3.5
1676268542000,37.8828,36.3322,2.2
1676268289000,38.9798,41.3335,1.8
1676268185000,37.4990,37.1548,1.7
1676268128000,37.9907,37.9213,1.9
1676268008000,37.6667,36.1725,0.8
1676267805000,38.0925,37.7450,2.2
1676267766000,38.0400,37.7032,2.8
1676267617000,37.8627,37.6202,2.5
1676267464000,37.5263,36.3108,1.9
1676266912000,38.2927,38.1828,2.5
1676266460000,38.0212,36.3703,2.0
1676266397000,36.8535,36.5280,2.8
1676266343000,37.8008,36.6207,2.5
1676266312000,38.1455,36.6515,2.5
1676266222000,38.0453,37.4308,1.9
1676265757000,36.2293,35.8968,3.1
1676265688000,38.0312,37.6910,2.4
1676265601000,38.1175,36.7175,2.3
1676265319000,38.1215,36.4957,1.7
1676265250000,38.1252,38.4167,3.0
1676265106000,37.8032,36.4543,2.6
1676264936000,38.2098,36.4433,1.4
1676264359000,38.0130,37.5013,2.6
1676264230000,38.1398,37.5333,2.6
1676263881000,38.1320,37.8225,3.6
1676263762000,37.6085,37.3627,3.0
1676263632000,38.2313,37.2943,2.4
1676263550000,37.9062,36.7755,2.4
1676263330000,37.1732,37.0735,2.3
1676263113000,38.1667,38.5770,2.5
1676262779000,38.1235,37.8747,3.2
1676262353000,36.3830,36.1035,2.2
1676262114000,38.0085,36.4935,2.2
1676261938000,37.8240,36.5087,2.5
1676261612000,38.1023,37.0770,3.2
1676261440000,37.4453,37.0748,2.8
1676261229000,38.1003,38.1178,3.1
1676261049000,37.4230,37.1442,2.1
1676260816000,38.3052,38.1368,2.7
1676260712000,38.4507,31.8565,2.0
1676260540000,40.4520,26.3280,1.9
1676260370000,38.1342,36.6133,2.1
1676260317000,37.7922,37.3995,2.2
1676260258000,37.6260,36.6083,2.0
1676260035000,37.8940,36.3685,1.9
1676259871000,36.0812,36.4178,3.1
1676259778000,38.0312,38.4640,2.2
1676259576000,37.3500,36.9317,2.3
1676259304000,37.3277,36.9143,3.7
1676259233000,40.7700,27.4988,3.0
1676258934000,38.2405,37.9932,2.6
1676258888000,38.0428,37.6813,3.0
1676258662000,37.4045,36.9538,2.6
1676258377000,38.3177,38.7032,2.5
1676258189000,37.9723,36.1100,1.9
1676257950000,38.2382,38.1357,3.6
1676257921000,38.0293,36.6090,2.7
1676257839000,38.0948,37.4283,2.1
1676257601000,37.9467,36.3817,2.1
1676257181000,37.0388,35.3070,1.8
1676256936000,38.0858,36.5553,2.5
1676256782000,38.0722,38.5020,2.9
1676256624000,37.1350,36.9672,2.0
1676256450000,39.2217,40.2162,2.0
1676256104000,37.9430,36.7483,2.2
1676256030000,36.8762,36.5507,2.9
1676255434000,37.9698,36.2235,1.8
1676255229000,37.3440,37.0692,1.5
1676255134000,37.6015,37.2748,1.7
1676254806000,39.5080,41.0080,1.7
1676254704000,37.5953,36.1412,2.8
1676254551000,37.8265,37.5425,1.7
1676254432000,37.3535,36.9240,1.4
1676254302000,38.0558,37.1852,2.7
1676254165000,38.2175,38.5868,2.3
1676254008000,37.8972,36.1737,2.2
1676253846000,37.5675,37.3243,1.8
1676253674000,37.4827,37.3425,1.9
1676253641000,37.4157,37.0943,1.7
1676253584000,38.0398,36.5313,1.8
1676253373000,37.3425,36.9303,2.8
1676253238000,37.0127,28.0318,1.5
1676253186000,38.1825,38.6110,2.1
1676252852000,38.0653,38.4815,2.7
1676252720000,37.6507,37.3342,1.8
1676252537000,37.4720,37.0873,2.3
1676252324000,38.1137,36.5632,3.1
1676252098000,38.1648,38.5750,2.4
1676252028000,38.5447,40.5500,1.1
1676251978000,41.2822,41.3547,2.0
1676251921000,38.4108,40.3672,2.3
1676251841000,38.3823,38.2908,1.9
1676251614000,38.1687,37.8808,2.7
1676251502000,38.0090,38.0605,2.8
1676251396000,37.9470,36.6375,1.9
1676251390000,40.7865,31.1023,1.6
